1. From_Currency Code,2. From_Currency Name,3. To_Currency Code,4. To_Currency Name,5. Exchange Rate,6. Last Refreshed,7. Time Zone,8. Bid Price,9. Ask Price
EUR,Euro,USD,United States Dollar,1.03150000,2025-02-10 07:59:00,UTC,1.03147000,1.03151000
EUR,Euro,USD,United States Dollar,1.03180000,2025-02-10 15:10:01,UTC,1.03176000,1.03183000
EUR,Euro,USD,United States Dollar,1.03140000,2025-02-10 17:43:01,UTC,1.03138000,1.03144000
EUR,Euro,USD,United States Dollar,1.03110000,2025-02-10 17:48:01,UTC,1.03106000,1.03112000
EUR,Euro,USD,United States Dollar,1.03120000,2025-02-10 17:53:01,UTC,1.03119000,1.03124000
EUR,Euro,USD,United States Dollar,1.03150000,2025-02-10 17:58:02,UTC,1.03147000,1.03151000
EUR,Euro,USD,United States Dollar,1.03150000,2025-02-10 18:03:01,UTC,1.03147000,1.03151000
EUR,Euro,USD,United States Dollar,1.03160000,2025-02-10 18:08:02,UTC,1.03155000,1.03164000
EUR,Euro,USD,United States Dollar,1.03190000,2025-02-10 18:13:01,UTC,1.03185000,1.03194000
EUR,Euro,USD,United States Dollar,1.03170000,2025-02-10 18:18:01,UTC,1.03168000,1.03170000
EUR,Euro,USD,United States Dollar,1.03170000,2025-02-10 18:23:02,UTC,1.03168000,1.03170000
EUR,Euro,USD,United States Dollar,1.03120000,2025-02-10 18:28:01,UTC,1.03119000,1.03124000
EUR,Euro,USD,United States Dollar,1.03150000,2025-02-10 18:33:01,UTC,1.03147000,1.03151000
